Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions,,,period,strictly
86,2,15510922481,15524050481,13128000,15476938833,14000000,-,,,,
86,3,19811153925,19838290481,27136556,19755178814,32000000,-,,,,
87,1,19910737481,19946111111,35373630,19865999277,48000000,-,,,8599995926,-4074
87,2,15560918055,15574017796,13099741,15526945518,14000000,-,,,,
87,3,19911153333,19938294962,27141629,19855178796,32000000,-,,,,
88,1,20010740222,20046098444,35358222,19966009777,48000000,-,,,8699998667,-1333
88,2,15610918370,15624046277,13127907,15576932722,14000000,-,,,,
88,3,20011155703,20038292203,27136500,19955178481,32000000,-,,,,
89,1,20110745518,20146105888,35360370,20066001222,48000000,-,,,8800003963,3963
89,2,15660919629,15674019111,13099482,15626941537,14000000,-,,,,
89,3,20111149777,20138290537,27140760,20055181203,32000000,-,,,,
90,1,20210745833,20246107148,35361315,20166005592,48000000,-,,,8900004278,4278
90,2,15710917092,15724046500,13129408,15676934203,14000000,-,,,,
90,3,20211149648,20238288888,27139240,20155175203,32000000,-,,,,
91,1,20310742481,20346106203,35363722,20266006333,48000000,-,,,9000000926,926
91,2,15760925388,15774027037,13101649,15726941185,14000000,-,,,,
91,3,20311148611,20338288925,27140314,20255175518,32000000,-,,,,
92,1,20410743833,20446109092,35365259,20366005407,48000000,-,,,9100002278,2278
92,2,15810916000,15824046074,13130074,15776937833,14000000,-,,,,
92,3,20411151092,20438291500,27140408,20355173907,32000000,-,,,,
93,1,20510739055,20546098777,35359722,20466007425,48000000,-,,,9199997500,-2500
93,2,15860922000,15874021870,13099870,15826940518,14000000,-,,,,
93,3,20511146574,20538285981,27139407,20455176870,32000000,-,,,,
94,1,20610746388,20646107055,35360667,20566001074,48000000,-,,,9300004833,4833
94,2,15910923185,15924054074,13130889,15876936722,14000000,-,,,,
94,3,20611153203,20638294981,27141778,20555174166,32000000,-,,,,
95,1,20710745500,20746105629,35360129,20666007037,48000000,-,,,9400003945,3945
95,2,15960919962,15974021203,13101241,15926947148,14000000,-,,,,
95,3,20711152277,20738293185,27140908,20655177888,32000000,-,,,,
96,1,20810743444,20846102592,35359148,20766006129,48000000,-,,,9500001889,1889
96,2,16010922259,16024051592,13129333,15976934685,14000000,-,,,,
96,3,20811149944,20838289574,27139630,20755176925,32000000,-,,,,
97,1,20910743055,20946104333,35361278,20866003203,48000000,-,,,9600001500,1500
97,2,16060918537,16074021925,13103388,16026945833,14000000,-,,,,
97,3,20911147166,20938285407,27138241,20855174296,32000000,-,,,,
98,1,21010747425,21046107240,35359815,20966003555,48000000,-,,,9700005870,5870
98,2,16110921481,16124049870,13128389,16076933240,14000000,-,,,,
98,3,21011151888,21038295611,27143723,20955171481,32000000,-,,,,
99,1,21110746944,21146108074,35361130,21063991851,48000000,-,,,9800005389,5389
99,2,16160918462,16174017277,13098815,16126945037,14000000,-,,,,
99,3,21111151129,21138291018,27139889,21055177796,32000000,-,,,,
100,1,21210738592,21246097055,35358463,21166007629,48000000,-,,,9899997037,-2963
100,2,16210921925,16224050703,13128778,16176930388,14000000,-,,,,
100,3,21211153814,21238293314,27139500,21155176574,32000000,-,,,,
101,1,21310742092,21346102611,35360519,21265999592,48000000,-,,,10000000537,537
101,2,16260917833,16274018851,13101018,16226945314,14000000,-,,,,
101,3,21311146277,21338287092,27140815,21255178981,32000000,-,,,,
102,1,21410740796,21446100796,35360000,21363985740,48000000,-,,,10099999241,-759
102,2,16310919222,16324048296,13129074,16276932888,14000000,-,,,,
102,3,21411156333,21438298074,27141741,21355172444,32000000,-,,,,
103,1,21510746037,21546107592,35361555,21463984944,48000000,-,,,10200004482,4482
103,2,16360924259,16374024425,13100166,16326942722,14000000,-,,,,
