Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
49,2,16111033185,16259457574,148424389,16151650277,101000000,-
49,3,16111310611,16153433925,42123314,16078345500,63000000,-
50,1,16210893259,16269538111,58644852,16198951796,85000000,-
50,2,16211031055,16359462629,148431574,16250538481,101000000,-
50,3,16211307685,16253429537,42121852,16178354333,63000000,-
51,1,16310894981,16369538333,58643352,16298937296,85000000,-
51,2,16311032814,16459461500,148428686,16350543296,101000000,-
51,3,16311310018,16353434666,42124648,16278351481,63000000,-
52,1,16410885203,16469540462,58655259,16398951314,85000000,-
52,2,16411033796,16575558500,164524704,16450545759,101000000,-
52,3,16411310648,16453433759,42123111,16378354296,63000000,-
53,1,16510887722,16569543574,58655852,16498936592,85000000,-
53,2,16511036629,16675623000,164586371,16550548037,101000000,-
53,3,16511301351,16553423870,42122519,16478354111,63000000,-
54,1,16610893351,16669608314,58714963,16598939907,85000000,-
54,2,16611031203,16759456185,148424982,16712028055,101000000,-
54,3,16611308055,16653429777,42121722,16578345407,63000000,-
55,1,16710892000,16769677685,58785685,16698949166,85000000,-
55,2,16711030055,16875465685,164435630,16812026907,101000000,-
55,3,16711307444,16753428888,42121444,16678350407,63000000,-
56,1,16810885962,16869450759,58564797,16798942722,85000000,-
56,2,16811034629,16959457092,148422463,16850681000,101000000,-
56,3,16811300574,16853425370,42124796,16778350037,63000000,-
57,1,16910889185,16969515481,58626296,16898942574,85000000,-
57,2,16911038092,17075550962,164512870,17012034833,101000000,-
57,3,16911304129,16953427962,42123833,16878344907,63000000,-
58,1,17010886037,17069536203,58650166,16998943203,85000000,-
58,2,17011034759,17175614259,164579500,17050520481,101000000,-
58,3,17011300444,17053426462,42126018,16978346888,63000000,-
59,1,17110891648,17169599611,58707963,17098943092,85000000,-
59,2,17111030574,17259450814,148420240,17212027314,101000000,-
59,3,17111307870,17153429555,42121685,17078344851,63000000,-
60,1,17210885888,17269665000,58779112,17198942277,85000000,-
60,2,17211034703,17357467203,146432500,17312031481,101000000,-
60,3,17211301240,17253423000,42121760,17178350296,63000000,-
61,1,17310895685,17369529370,58633685,17298941685,85000000,-
61,2,17311033666,17459461222,148427556,17350672981,101000000,-
61,3,17311309555,17353434777,42125222,17278344592,63000000,-
62,1,17410892740,17469596722,58703982,17398951888,85000000,-
62,2,17411030759,17557463351,146432592,17470534777,101000000,-
62,3,17411307370,17453433222,42125852,17378353277,63000000,-
63,1,17510889592,17569539092,58649500,17498948833,85000000,-
63,2,17511038722,17675622944,164584222,17550604166,101000000,-
63,3,17511303666,17553428907,42125241,17478351703,63000000,-
64,1,17610886648,17669607925,58721277,17598941740,85000000,-
64,2,17611035444,17775689037,164653593,17670544370,101000000,-
64,3,17611301777,17653428074,42126297,17578347925,63000000,-
65,1,17710889129,17769673240,58784111,17698943592,85000000,-
