Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline
68,1,18010799648,18079162259,68362611,17998852759,85000000
68,2,14610955333,14660074481,49119148,14622974666,58000000
68,3,18011091166,18175019481,163928315,18061072777,101000000
69,1,18110802962,18179175000,68372038,18098851407,85000000
69,2,14660949333,14710060833,49111500,14672978092,58000000
69,3,18111094148,18275010944,163916796,18161085148,101000000
70,1,18210795666,18279165851,68370185,18198854851,85000000
70,2,14710957166,14760084611,49127445,14722971518,58000000
70,3,18211098148,18375015370,163917222,18261077870,101000000
71,1,18310800722,18379171425,68370703,18298834851,85000000
71,2,14760959648,14810071962,49112314,14772980185,58000000
71,3,18311091796,18461064648,149972852,18361080814,101000000
72,1,18410801407,18479168629,68367222,18398852500,85000000
72,2,14810958185,14860077611,49119426,14822982388,58000000
72,3,18411092777,18575018944,163926167,18461084925,101000000
73,1,18510804425,18579164555,68360130,18498852777,85000000
73,2,14860952648,14910069092,49116444,14872981518,58000000
73,3,18511096240,18675012037,163915797,18560172592,101000000
74,1,18610798055,18679166314,68368259,18598844370,85000000
74,2,14910954592,14960074574,49119982,14922975555,58000000
74,3,18611089148,18775012592,163923444,18661076444,101000000
75,1,18710799185,18779173259,68374074,18698837129,85000000
75,2,14960949962,15010066148,49116186,14972980203,58000000
75,3,18711089925,18875018333,163928408,18761082518,101000000
76,1,18810804055,18879172833,68368778,18798847037,85000000
76,2,15010952129,15060065388,49113259,15022971962,58000000
76,3,18811095518,18961066074,149970556,18861082185,101000000
77,1,18910798148,18979170574,68372426,18898856222,85000000
77,2,15060951666,15110063388,49111722,15072978370,58000000
77,3,18911089314,19061065037,149975723,18961076611,101000000
78,1,19010800277,19079170370,68370093,18998837796,85000000
78,2,15110960111,15160079500,49119389,15122973537,58000000
78,3,19011091796,19175017388,163925592,19060172685,101000000
79,1,19110802555,19179163537,68360982,19098852796,85000000
79,2,15160953777,15210070388,49116611,15172983425,58000000
79,3,19111094259,19275010796,163916537,19160174185,101000000
80,1,19210798444,19279168907,68370463,19198855296,85000000
80,2,15210957092,15260076444,49119352,15222977055,58000000
80,3,19211089481,19375018907,163929426,19261084018,101000000
81,1,19310798555,19379173685,68375130,19298851129,85000000
81,2,15260952277,15310065259,49112982,15272980351,58000000
81,3,19311089574,19475022870,163933296,19361081240,101000000
82,1,19410805092,19479171666,68366574,19398850277,85000000
82,2,15310950407,15360065481,49115074,15322975703,58000000
82,3,19411096611,19575015685,163919074,19461087592,101000000
83,1,19510800074,19579166851,68366777,19498844185,85000000
83,2,15360952462,15410060203,49107741,15372977129,58000000
83,3,19511091666,19675018703,163927037,19561078092,101000000
84,1,19610801259,19679162611,68361352,19598839296,85000000
84,2,15410956388,15460075407,49119019,15422974425,58000000
84,3,19611093055,19761062296,149969241,19661072129,101000000
85,1,19710801074,19779164203,68363129,19698840425,85000000
85,2,15460951185,15510063314,49112129,15472979407,58000000
85,3,19711092592,19875014518,163921926,19761074166,101000000
86,1,19810799796,19879166129,68366333,19798853851,85000000
86,2,15510959759,15560078685,49118926,15522973018,58000000
86,3,19811091203,19975021777,163930574,19860165500,101000000
87,1,19910795592,19979172259,68376667,19898850259,85000000
87,2,15560953185,15610069000,49115815,15572983425,58000000
87,3,19911098259,20075021981,163923722,19961082259,101000000
88,1,20010804944,20079166296,68361352,19998834518,85000000
88,2,15610955166,15660082685,49127519,15622975981,58000000
88,3,20011096629,20161059037,149962408,20061079481,101000000
89,1,20110800740,20179169648,68368908,20098857351,85000000
89,2,15660952222,15710063259,49111037,15672981055,58000000
89,3,20111092388,20275015259,163922871,20161088407,101000000
90,1,20210800574,20279161277,68360703,20198840962,85000000
90,2,15710959296,15760078481,49119185,15722977185,58000000
